Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
1970-01-01 00:03:48.200,1.5500625859397592,3.920643501975904,8.773215696036145,-0.0037727178286001205,-0.00014167240349963856,-6.347662614096385e-05,50.25279028,6.625642409999999,477.17454655,0.0,135.53617631276595,10.808200835000001,4.997683048000001,-35.512501527,-10.608750342,-9.7593753814
1970-01-01 00:03:48.300,1.5252983095903616,3.805643865855422,8.828488522277107,-0.000999066461879518,-0.0018279420325921687,0.0006218866700373494,50.252790304,6.625642574,477.184068,0.0,135.52128269574467,10.796445082,4.9914569852,-35.321251679,-10.173750399300001,-9.3562502857
1970-01-01 00:03:48.400,1.5727799742771085,3.805499731795181,8.820719018036144,-0.0005942881731891567,0.00030634356859542166,0.001195935892946988,50.252790328,6.625642738,477.19358945,0.0,135.5063890787234,10.784689328999999,4.9852309224,-34.053751373,-10.576875304000001,-8.2443753242
1970-01-01 00:03:48.500,1.5375182800963856,3.9623593536987953,8.751950608650603,0.005344913528269048,0.002316129142502976,-0.0017089179364857144,50.252790352000005,6.625642902,477.2031109,0.0,135.49149546170213,10.772933576,4.979004859600001,-35.10750122,-10.374375532,-9.9262504565
1970-01-01 00:03:48.600,1.5276605855833332,4.232696720488095,8.68805063332143,0.00595576074583253,-0.0018868189072407228,-0.0009825073381698796,50.252790376,6.625643065999999,477.21263235,0.0,135.47660184468086,10.761177823,4.9727787968,-35.206876756,-11.368125437,-11.017500399000001
1970-01-01 00:03:48.700,1.5703295038433736,4.062987629144578,8.693863363108434,-0.008446987232446988,-0.0003265825458386748,0.0009898669507421686,50.2527904,6.62564323,477.2221538,0.0,135.46170822765959,10.74942207,4.966552734,-34.966876601,-11.323125266,-10.743750285
1970-01-01 00:03:48.800,1.533745260048193,3.760382040445783,8.857350119674699,-0.0030597560026024095,0.001903377960632048,0.00015823152170963857,50.252790463000004,6.62564322,477.2258404,0.0,135.4468146106383,10.734858796,4.952356052100001,-34.848751449000005,-10.740000437,-10.411875437
1970-01-01 00:03:48.900,1.5268226545301204,4.037661187602409,8.768801252554217,0.0097590121073,-0.003130592234019048,-0.0011635185871214284,50.252790526,6.62564321,477.229527,0.0,135.431920993617,10.720295521999999,4.9381593702,-35.287501907,-10.428750418,-10.029375456699999
1970-01-01 00:03:49.000,1.566230602154762,3.9761732929642855,8.66652229847619,-0.0033173421972457827,0.0009539888600804819,0.0005041329843710843,50.252790589,6.6256432,477.2332136,0.0,135.41702737659574,10.705732248,4.9239626883000005,-35.493751145,-10.815000437,-9.9150004378
1970-01-01 00:03:49.100,1.5321884844096385,3.848253425337349,8.888121685373493,0.0013412880732783133,0.0027865306120861445,-0.00016559113848915662,50.252790652,6.62564319,477.2369002,0.0,135.40213375957447,10.691168974,4.9097660064,-35.154376602999996,-10.48125057,-9.8268754001
1970-01-01 00:03:49.200,1.529565029807229,4.035326012662651,8.699755358385541,0.005683455348871084,-0.0015703558583551806,0.0001729507159554217,50.252790715,6.62564318,477.24058679999996,0.0,135.3872401425532,10.6766057,4.8955693245,-34.852501677999996,-10.638750456,-10.447500227999999
1970-01-01 00:03:49.300,1.5725205159638556,3.9432744147228918,8.74690549919277,-0.010073460132295181,-0.003454414892675181,0.002204201858860241,50.252790778,6.62564317,477.2442734,0.0,135.37234652553192,10.662042426,4.881372642600001,-35.214376830999996,-10.3275003421,-10.498125265999999
1970-01-01 00:03:49.400,1.5218243914819278,3.899511705036144,8.831176757771084,0.000159983792625,0.002788808589675714,-0.0015416621353154763,50.252790841,6.62564316,477.24796,0.0,135.35745290851065,10.647479151999999,4.8671759607,-35.551876831,-10.569375418,-10.438125418
1970-01-01 00:03:49.500,1.5718708364642857,3.9738944456666667,8.768495026083334,0.0029088840699325303,-0.009746877636215302,0.0044709603352072295,50.252790904,6.62564315,477.25164659999996,0.0,135.34255929148935,10.632915878,4.8529792788,-35.415002059,-10.351875209000001,-10.0481253619
