Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Mag Direction (°)
1970-01-01 00:01:24.700,0.21321777682899468,-4.172072005606454,1.7910657220998125,-0.02800807367692976,0.010886170834955952,0.0038832432891666665,50.24458037,6.62761513,485.3075933,25.98999977,235.8000031,223.81317139872445
1970-01-01 00:01:24.800,0.11212719517738834,-5.762046152823878,2.4648412562280395,-0.05389531152973132,0.005074448024626505,0.020286752589493976,50.24456766,6.62758386,485.41252287000003,25.957999801,235.8500031,223.93150034378553
1970-01-01 00:01:24.900,0.04275438292538025,-3.2177465874795264,1.1903663430757145,0.06574979620236145,-0.04920264259963856,-0.0019613348316662653,50.24455495,6.62755259,485.51745244,25.925999832000002,235.9000031,224.47813955441185
1970-01-01 00:01:25.000,-0.25505833537461986,-2.3422185470431045,0.08301914171427072,0.06298258445669519,-0.04881258353746989,0.011631856535012048,50.24454224,6.62752132,485.62238201,25.893999863,235.9500031,228.8669962046577
1970-01-01 00:01:25.100,0.049349061624175405,-4.402546959152237,1.3324906455576428,-0.10330954270945357,-0.049107756232619044,0.0546853738125,50.24452953,6.62749005,485.72731158,25.861999894,236.0000031,223.10207788941372
1970-01-01 00:01:25.200,0.1900968895821502,-5.720381843300068,1.5636622834780383,-0.07849111327156626,-0.11538021499855422,0.04257899789831325,50.24451682,6.6274587799999995,485.83224115,25.829999925000003,236.0500031,220.16822239915126
1970-01-01 00:01:25.300,0.4118076375759825,-5.27869122252778,0.8502071908106554,-0.04903061186227832,-0.0358817568702265,-0.007503117819753013,50.24450411,6.62742751,485.93717072000004,25.797999956,236.1000031,218.9151645974486
1970-01-01 00:01:25.400,0.7999602325277899,-4.749001726989225,0.46107078452149963,0.00997134548263494,0.023745767135283133,-0.04861387408457831,50.2444914,6.62739624,486.04210029,25.765999987,236.1500031,217.71939373753523
1970-01-01 00:01:25.500,1.0333361122024884,-4.1083775179894655,0.7543681157142696,-0.012607924315604818,0.024430210461133733,-0.04094516548759036,50.24447869,6.62736497,486.14702986000003,25.734000018,236.2000031,215.51844075382024
1970-01-01 00:01:25.600,0.8140937361783922,-3.8446913474883813,0.742079688882944,-0.05146024559408571,0.0018398138111964284,-0.02604100042761905,50.24446598,6.6273337,486.25195943,25.702000049000002,236.2500031,217.06930914291976
1970-01-01 00:01:25.700,0.4060633796178643,-3.7743333687324494,0.8028550304661337,-0.049280838673544575,0.026645451955489157,-0.026579215427108435,50.24445327,6.62730243,486.356889,25.67000008,236.3000031,219.68759300795656
1970-01-01 00:01:25.800,0.03601917150369349,-3.85744826107296,1.1995267639431848,-0.03247149983384338,0.035204672949939765,0.009975945302738555,50.244446332,6.627286779,486.51257580000004,24.847000125,236.22000279,221.2084126416095
1970-01-01 00:01:25.900,-0.20030089432763187,-4.014870050168502,0.9946774058468009,-0.01225466329010482,0.010373364101595181,0.03543282069127711,50.244439394000004,6.627271128,486.6682626,24.02400017,236.14000248,224.72052645983962
1970-01-01 00:01:26.000,-0.48654951177823424,-4.462940502545852,0.42969381377450944,-0.05655063910523809,-0.0135113594935,0.05262012819642857,50.244432456,6.627255477,486.8239494,23.201000215,236.06000217,222.4387781671615
1970-01-01 00:01:26.100,-0.13771980686070706,-4.506327018302449,0.9632311136923253,-0.0860347081917735,-0.05148412026683735,0.06076458318626506,50.244425518,6.627239826,486.9796362,22.37800026,235.98000186,222.82505569743492
1970-01-01 00:01:26.200,0.08779999213983802,-5.26696494002055,1.5300282400516192,-0.0524307495364253,-0.041092357261,0.03298207188946265,50.24441858,6.627224175,487.13532299999997,21.555000305,235.90000155,216.60827372956584
1970-01-01 00:01:26.300,0.15300441503140427,-5.84090363145067,2.0500887912443897,-0.03135283954616867,0.0025280244821939755,0.0039410687694180725,50.244411642,6.627208524,487.2910098,20.73200035,235.82000124,211.73023199622935
1970-01-01 00:01:26.400,0.13676276256272968,-5.9782134656675385,2.227067510292583,-0.03064631738307229,-0.00867329509827711,0.019212250255992772,50.244404704000004,6.627192873,487.4466966,19.909000395,235.74000093,215.84548698504636
1970-01-01 00:01:26.500,0.18038854030730778,-6.685069120378381,2.3433284873648716,-0.0033414801096726186,-0.020034335507760716,0.025211993461238095,50.244397766,6.627177222,487.6023834,19.08600044,235.66000062,213.4198308728148
1970-01-01 00:01:26.600,0.17007837158929306,-6.425652078335782,1.9674403145137536,0.011251917115261446,-0.018704437507946987,0.02360593483262048,50.244390828,6.627161571,487.75807019999996,18.263000485,235.58000031,211.50522334955832
1970-01-01 00:01:26.700,0.6896561527205609,-6.850948671631393,2.6033785723046314,-0.022661145795421687,-0.024238860757733734,0.012529728450038554,50.24438389,6.62714592,487.913757,17.44000053,235.5,213.59762522910512
1970-01-01 00:01:26.800,0.833679572600079,-8.156683877583202,2.568030369051618,-0.041707804539498794,-0.03761126411203012,0.007274969993824097,50.244375058,6.6271268590000005,487.88365197999997,17.385000416,236.65,206.7743503712715
1970-01-01 00:01:26.900,1.0056961228892356,-4.925476003048743,1.5394049381721011,0.0680549295394131,-0.09788100110773809,-0.06502614501750001,50.244366226000004,6.627107798,487.85354695999996,17.330000302,237.8,213.07025934931067
1970-01-01 00:01:27.000,1.3799599809511975,-1.2738159084036398,-0.6079845331171985,0.1336715946005759,-0.06587950925121808,-0.0873401189246988,50.244357394,6.627088737,487.82344194,17.275000188,238.95,211.52928932925798
1970-01-01 00:01:27.100,1.9646954793832117,-1.0602025543060924,-0.11453276952669356,-0.025722741662157832,-0.07818476954180723,-0.060595312122168676,50.244348562,6.627069676,487.79333692,17.220000073999998,240.1,210.38189615051857
1970-01-01 00:01:27.200,3.466984493094055,-3.2077176340516345,1.6824337027263176,-0.12709394770722893,-0.16200331678783134,-0.09698856133060241,50.24433973,6.627050615,487.7632319,17.16499996,241.25,205.65387304864248
1970-01-01 00:01:27.300,4.465386152178393,-4.456558440460309,0.7564330502323422,-0.09392420595253012,-0.26517762422891566,-0.23318542019036143,50.244330898,6.627031554,487.73312688,17.109999846,242.4,204.61045008197067
1970-01-01 00:01:27.400,6.017045121539837,-3.817757675837418,-0.043281463261633846,-0.060128459286190476,-0.2927994534797619,-0.4008903304714286,50.244322066,6.627012493,487.70302186,17.054999732,243.55,198.57947553488452
1970-01-01 00:01:27.500,6.761368206975007,-3.061090624381854,-0.6722346673314856,-0.08717544731554216,-0.27997043208072286,-0.5137409427746987,50.244313233999996,6.626993432,487.67291684,16.999999618,244.7,200.3355502342925
1970-01-01 00:01:27.600,7.071605995383212,-2.458594772974767,-1.1551908183580197,-0.18427808332168674,-0.3122423047084337,-0.6013864874759036,50.244304402,6.626974370999999,487.64281182,16.944999504,245.85,206.51169304253722
1970-01-01 00:01:27.700,7.365966460768755,-3.225375511618502,-0.6249283537676575,-0.23198304675903617,-0.24467376664578314,-0.6993722685831325,50.24429557,6.62695531,487.6127068,16.88999939,247.0,213.16102849519456
1970-01-01 00:01:27.800,7.081332249708513,-2.8693098066728635,-0.830610223598983,-0.21254939319523808,-0.26813285850833335,-0.7562143660714286,50.244291439,6.626938773999999,487.56480823000004,16.627999497,251.87000122,213.17438884086977
1970-01-01 00:01:27.900,7.323065553725009,-0.29996912905125894,-1.4610685750457701,-0.13897235136746988,-0.3971795116554217,-0.8090230398951807,50.244287308,6.626922238,487.51690966,16.365999604,256.74000244,205.4556797488057
1970-01-01 00:01:28.000,7.144388931274779,1.470697493115594,-2.7273617825507896,-0.18801676248180724,-0.3663206836542169,-0.8422884539000001,50.244283177,6.626905702,487.46901109,16.103999711,261.61000366,196.92334341077364
1970-01-01 00:01:28.100,8.373243902973574,0.12783747521197952,-1.2352350706230801,-0.32438289311204815,-0.29703735856506025,-0.7719526980385543,50.244279045999996,6.626889166,487.42111252,15.841999818,266.48000488,181.6788780557871
1970-01-01 00:01:28.200,6.57589532373261,-0.6747238681976588,-2.7994455946712717,-0.16233173906626508,-0.34051054769759037,-0.883097464066265,50.244274915,6.626872629999999,487.37321395000004,15.579999925,271.3500061,156.57643297923778
1970-01-01 00:01:28.300,7.966051238522626,-0.7221563417881636,-1.617339067664818,-0.31435727093309523,-0.3068562121607143,-0.8589603219726191,50.244270784,6.626856094,487.32531538,15.318000032,276.22000732,121.77466615226484
1970-01-01 00:01:28.400,7.821514505780801,-0.6770230003542852,-2.2952591022495854,-0.30214952452518073,-0.32969928883253014,-0.9073400073674698,50.244266653,6.626839558,487.27741681,15.056000139,281.09000854,69.49406117836077
1970-01-01 00:01:28.500,8.327855939853091,-0.1462992892338031,-1.1495619338399479,-0.1821667946440012,-0.30985043135180723,-0.9733041517590361,50.244262522,6.626823022,487.22951824,14.794000246,285.96000976,26.69838771361964
1970-01-01 00:01:28.600,7.813975641106104,1.2677219872842693,-0.016643317514645872,-0.21601178225386747,-0.30104834389869883,-0.9240095155771084,50.244258390999995,6.6268064859999996,487.18161967000003,14.532000353,290.83001098,22.933553370616096
1970-01-01 00:01:28.700,7.059793262455502,2.1257867450914985,-1.8447886605266932,-0.09647387077257144,-0.6474181037666666,-0.8369770979619047,50.24425426,6.62678995,487.1337211,14.27000046,295.7000122,359.6109994936129
